route_id,route_licence_number,sub_agency_name
L190,100190,"Dopravní podnik hl. m. Prahy, akciová společnost"
L191,100191,"Dopravní podnik hl. m. Prahy, akciová společnost"
L192,100192,"Dopravní podnik hl. m. Prahy, akciová společnost"
L193,100193,"Dopravní podnik hl. m. Prahy, akciová společnost"
L195,100195,"Dopravní podnik hl. m. Prahy, akciová společnost"
L196,100196,"Dopravní podnik hl. m. Prahy, akciová společnost"
L197,100197,"Dopravní podnik hl. m. Prahy, akciová společnost"
L199,100199,"Dopravní podnik hl. m. Prahy, akciová společnost"
L200,100200,"Dopravní podnik hl. m. Prahy, akciová společnost"
L201,100201,"Dopravní podnik hl. m. Prahy, akciová společnost"
L202,100202,"Dopravní podnik hl. m. Prahy, akciová společnost"
L207,100207,"Dopravní podnik hl. m. Prahy, akciová společnost"
L213,100213,"Dopravní podnik hl. m. Prahy, akciová společnost"
L215,100215,"Dopravní podnik hl. m. Prahy, akciová společnost"
L216,100216,"Dopravní podnik hl. m. Prahy, akciová společnost"
L225,100225,"Dopravní podnik hl. m. Prahy, akciová společnost"
L227,100227,"Dopravní podnik hl. m. Prahy, akciová společnost"
L229,100229,"Dopravní podnik hl. m. Prahy, akciová společnost"
L230,100230,"Dopravní podnik hl. m. Prahy, akciová společnost"
L231,100231,"Dopravní podnik hl. m. Prahy, akciová společnost"
L236,100236,"Dopravní podnik hl. m. Prahy, akciová společnost"
L241,100241,"Dopravní podnik hl. m. Prahy, akciová společnost"
L244,100244,"Dopravní podnik hl. m. Prahy, akciová společnost"
L245,100245,"Dopravní podnik hl. m. Prahy, akciová společnost"
L246,100246,"Dopravní podnik hl. m. Prahy, akciová společnost"
L247,100247,"Dopravní podnik hl. m. Prahy, akciová společnost"
L248,100248,"Dopravní podnik hl. m. Prahy, akciová společnost"
L250,100250,"Dopravní podnik hl. m. Prahy, akciová společnost"
L251,100251,"Dopravní podnik hl. m. Prahy, akciová společnost"
L252,100252,"Dopravní podnik hl. m. Prahy, akciová společnost"
L255,100255,"Dopravní podnik hl. m. Prahy, akciová společnost"
L256,100256,"Dopravní podnik hl. m. Prahy, akciová společnost"
L259,100259,"Dopravní podnik hl. m. Prahy, akciová společnost"
L260,100260,"Dopravní podnik hl. m. Prahy, akciová společnost"
L261,100261,"Dopravní podnik hl. m. Prahy, akciová společnost"
L262,100262,"Dopravní podnik hl. m. Prahy, akciová společnost"
L263,100263,"Dopravní podnik hl. m. Prahy, akciová společnost"
L265,100265,"Dopravní podnik hl. m. Prahy, akciová společnost"
L266,100266,"Dopravní podnik hl. m. Prahy, akciová společnost"
L267,100267,"Dopravní podnik hl. m. Prahy, akciová společnost"
L269,100269,"Dopravní podnik hl. m. Prahy, akciová společnost"
L270,100270,"Dopravní podnik hl. m. Prahy, akciová společnost"
L271,100271,"Dopravní podnik hl. m. Prahy, akciová společnost"
L272,100272,"Dopravní podnik hl. m. Prahy, akciová společnost"
L275,100275,"Dopravní podnik hl. m. Prahy, akciová společnost"
L282,100282,"Dopravní podnik hl. m. Prahy, akciová společnost"
L286,100286,"Dopravní podnik hl. m. Prahy, akciová společnost"
L301,100301,"Dopravní podnik hl. m. Prahy, akciová společnost"
L312,100312,"Dopravní podnik hl. m. Prahy, akciová společnost"
L329,100329,"Dopravní podnik hl. m. Prahy, akciová společnost"
L340,100340,"Dopravní podnik hl. m. Prahy, akciová společnost"
L347,100347,"Dopravní podnik hl. m. Prahy, akciová společnost"
L351,100351,"Dopravní podnik hl. m. Prahy, akciová společnost"
L352,100352,"Dopravní podnik hl. m. Prahy, akciová společnost"
L355,100355,"Dopravní podnik hl. m. Prahy, akciová společnost"
L359,100359,"Dopravní podnik hl. m. Prahy, akciová společnost"
L363,100363,"Dopravní podnik hl. m. Prahy, akciová společnost"
L364,100364,"Dopravní podnik hl. m. Prahy, akciová společnost"
L366,100366,"Dopravní podnik hl. m. Prahy, akciová společnost"
L790,103120,"Dopravní podnik hl. m. Prahy, akciová společnost"
L799,103001,"Dopravní podnik hl. m. Prahy, akciová společnost"
L801,101001,"Dopravní podnik hl. m. Prahy, akciová společnost"
L803,101003,"Dopravní podnik hl. m. Prahy, akciová společnost"
L811,101011,"Dopravní podnik hl. m. Prahy, akciová společnost"
L816,101016,"Dopravní podnik hl. m. Prahy, akciová společnost"
L890,101890,"Dopravní podnik hl. m. Prahy, akciová společnost"
L891,101091,"Dopravní podnik hl. m. Prahy, akciová společnost"
L901,100901,"Dopravní podnik hl. m. Prahy, akciová společnost"
L902,100902,"Dopravní podnik hl. m. Prahy, akciová společnost"
