from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
U28Z2P,U28Z2P,1,,163_858_190316,221_621_190316
U28Z1P,U28Z1P,1,,163_692_181027,221_513_181027
U454Z301,U454Z3P,1,,1301_239_181209,221_513_181027
U28Z2P,U28Z2P,1,,163_859_190316,221_622_190316
U28Z1P,U28Z1P,1,,163_693_181027,221_514_181027
U454Z301,U454Z3P,1,,1301_87_181222,221_514_181027
U28Z2P,U28Z2P,1,,163_860_190316,221_623_190316
U28Z1P,U28Z1P,1,,163_694_181027,221_515_181027
U454Z301,U454Z3P,1,,1301_26_181209,221_515_181027
U28Z2P,U28Z2P,1,,163_810_190311,221_574_190311
U28Z1P,U28Z1P,1,,163_351_180928,221_499_181022
U454Z301,U454Z3P,1,,1301_245_181209,221_499_181022
U28Z2P,U28Z2P,1,,163_811_190311,221_575_190311
U28Z1P,U28Z1P,1,,163_353_180928,221_187_181022
U454Z301,U454Z3P,1,,1301_28_180430,221_187_181022
U28Z2P,U28Z2P,1,,163_812_190311,221_576_190311
U28Z1P,U28Z1P,1,,163_355_180928,221_188_181022
U454Z301,U454Z3P,1,,1301_55_181218,221_188_181022
U454Z301,U454Z3P,1,,1301_16_181123,221_5_181027
U28Z2P,U28Z2P,1,,163_777_190311,221_624_190316
U28Z2P,U28Z2P,1,,163_841_190316,221_625_190316
U28Z1P,U28Z1P,1,,163_306_180928,221_190_181027
U454Z301,U454Z3P,1,,1301_92_180501,221_190_181027
U28Z2P,U28Z2P,1,,163_842_190316,221_626_190316
U28Z1P,U28Z1P,1,,163_308_180928,221_516_181027
U454Z301,U454Z3P,1,,1301_238_181209,221_516_181027
U28Z2P,U28Z2P,1,,163_843_190316,221_627_190316
U28Z1P,U28Z1P,1,,163_680_181027,221_517_181027
U454Z301,U454Z3P,1,,1301_247_181210,221_517_181027
U28Z2P,U28Z2P,1,,163_844_190316,221_628_190316
U28Z1P,U28Z1P,1,,163_681_181027,221_518_181027
U454Z301,U454Z3P,1,,1301_7_181209,221_518_181027
U28Z2P,U28Z2P,1,,163_845_190316,221_629_190316
U28Z1P,U28Z1P,1,,163_682_181027,221_519_181027
U454Z301,U454Z3P,1,,1301_36_180430,221_519_181027
U28Z2P,U28Z2P,1,,163_846_190316,221_630_190316
U28Z1P,U28Z1P,1,,163_683_181027,221_520_181027
U454Z301,U454Z3P,1,,1301_162_181209,221_520_181027
U28Z2P,U28Z2P,1,,163_847_190316,221_631_190316
U28Z1P,U28Z1P,1,,163_684_181027,221_521_181027
